X,Y,Comune,Provincia,Regione,Nome,Anno inser,Data e ora,Identifica,Longitudin,Latitudine,icon_url
14.5965171,41.5178375,Baranello,CAMPOBASSO,Molise,Baranello,"2015",2015-05-03T22:18:04Z,1614283822,14.596517100000000,41.517837499999899,./0.png
14.7654229,41.642558,Campolieto,CAMPOBASSO,Molise,Stazione di Campolieto-Monacilioni,"2015",2015-05-05T21:58:45Z,3500065334,14.765422900000001,41.642558000000001,./0.png
15.0424298,41.9573966,Campomarino,CAMPOBASSO,Molise,Campomarino,"2012",2012-07-10T15:07:17Z,747697220,15.042429800000001,41.957396600000003,./0.png
14.8495813,41.7381124,Casacalenda,CAMPOBASSO,Molise,Casacalenda-Guardialfiera,"2015",2015-05-05T21:58:46Z,1607737024,14.849581300000001,41.738112399999899,./0.png
14.9182158,41.8001473,Larino,CAMPOBASSO,Molise,Larino,"2015",2015-05-05T21:58:47Z,746308606,14.918215800000000,41.800147299999900,./0.png
14.9532544,41.8010478,Larino,CAMPOBASSO,Molise,Ururi-Rotello,"2015",2015-05-05T21:58:47Z,711616532,14.953254400000001,41.801047799999900,./0.png
14.6995252,41.6213033,Matrice,CAMPOBASSO,Molise,Matrice-Montagano-S.Giovanni in Galdo,"2015",2015-11-04T21:09:35Z,1960720517,14.699525200000000,41.621303300000001,./0.png
14.8443073,41.6696776,Ripabottoni,CAMPOBASSO,Molise,Ripabottoni-Sant'Elia,"2015",2015-05-05T21:58:47Z,1607733671,14.844307300000001,41.669677600000000,./0.png
14.9863949,41.9319834,Termoli,CAMPOBASSO,Molise,Stazione di Guglionesi,"2015",2015-05-03T21:37:12Z,3495873912,14.986394900000001,41.931983400000000,./0.png
14.9927098,42.0006525,Termoli,CAMPOBASSO,Molise,Termoli,"2015",2015-05-03T21:37:17Z,1157269509,14.992709800000000,42.000652500000001,./0.png
14.2997241,41.7124957,Carovilli,ISERNIA,Molise,Carovilli-Roccasicura,"2015",2015-05-05T21:58:45Z,3500065332,14.299724100000001,41.712495699999899,./0.png
14.3268493,41.5881126,Carpinone,ISERNIA,Molise,Carpinone,"2015",2015-05-05T21:58:45Z,3500065333,14.326849299999900,41.588112600000002,./0.png
14.1192872,41.5190066,Montaquila,ISERNIA,Molise,Roccaravindola,"2015",2015-10-25T00:52:15Z,1614288370,14.119287200000000,41.519006599999898,./0.png
14.3415465,41.6789996,Pescolanciano,ISERNIA,Molise,Pescolanciano-Chiauci,"2015",2015-12-01T18:43:09Z,3871286817,14.341546500000000,41.678999599999898,./0.png
14.1998104,41.7697694,San Pietro Avellana,ISERNIA,Molise,San Pietro Avellana,"2015",2015-05-03T22:18:07Z,2864835521,14.199810400000000,41.769769400000001,./0.png
14.1833544,41.831745,San Pietro Avellana,ISERNIA,Molise,San Pietro Avellana,"2015",2015-06-19T22:36:39Z,3606080050,14.183354400000001,41.831744999999898,./0.png
14.2190378,41.5617488,Sant'Agapito,ISERNIA,Molise,S.Agapito-Longano,"2012",2012-10-12T12:40:05Z,1960536037,14.219037800000001,41.561748799999897,./0.png
14.3285728,41.6395801,Sessano del Molise,ISERNIA,Molise,Sessano del Molise,"2014",2014-05-20T17:34:19Z,1960180124,14.328572800000000,41.639580100000003,./0.png
